Index,Date_and_Time,Temperature
188,10-02-2014 22.55,17.701
189,10-02-2014 23.10,17.629
190,10-02-2014 23.25,17.439
191,10-02-2014 23.40,17.415
192,10-02-2014 23.55,17.344
193,10-03-2014 0.10,17.201
194,10-03-2014 0.25,17.153
195,10-03-2014 0.40,17.058
196,10-03-2014 0.55,16.915
197,10-03-2014 1.10,16.844
198,10-03-2014 1.25,16.892
199,10-03-2014 1.40,16.915
200,10-03-2014 1.55,16.82
201,10-03-2014 2.10,16.606
202,10-03-2014 2.25,16.439
203,10-03-2014 2.40,16.415
204,10-03-2014 2.55,16.368
205,10-03-2014 3.10,16.368
206,10-03-2014 3.25,16.296
207,10-03-2014 3.40,16.249
208,10-03-2014 3.55,16.201
209,10-03-2014 4.10,16.249
210,10-03-2014 4.25,16.225
211,10-03-2014 4.40,16.177
212,10-03-2014 4.55,16.249
213,10-03-2014 5.10,16.106
214,10-03-2014 5.25,15.939
215,10-03-2014 5.40,15.915
216,10-03-2014 5.55,16.153
217,10-03-2014 6.10,16.654
218,10-03-2014 6.25,17.368
219,10-03-2014 6.40,18.105
220,10-03-2014 6.55,18.509
221,10-03-2014 7.10,19.27
222,10-03-2014 7.25,20.126
223,10-03-2014 7.40,20.984
224,10-03-2014 7.55,22.034
225,10-03-2014 8.10,22.226
226,10-03-2014 8.25,22.872
227,10-03-2014 8.40,23.28
228,10-03-2014 8.55,23.641
229,10-03-2014 9.10,24.871
230,10-03-2014 9.25,23.881
231,10-03-2014 9.40,23.93
232,10-03-2014 9.55,26.549
233,10-03-2014 10.10,26.671
234,10-03-2014 10.25,25.695
235,10-03-2014 10.40,26.72
236,10-03-2014 10.55,27.014
237,10-03-2014 11.10,27.333
238,10-03-2014 11.25,26.891
239,10-03-2014 11.40,27.456
240,10-03-2014 11.55,28.122
241,10-03-2014 12.10,27.161
242,10-03-2014 12.25,26.573
243,10-03-2014 12.40,27.924
244,10-03-2014 12.55,28.023
245,10-03-2014 13.10,29.265
246,10-03-2014 13.25,29.015
247,10-03-2014 13.40,27.677
248,10-03-2014 13.55,28.295
249,10-03-2014 14.10,28.295
250,10-03-2014 14.25,28.023
251,10-03-2014 14.40,27.974
252,10-03-2014 14.55,28.816
253,10-03-2014 15.10,27.751
254,10-03-2014 15.25,27.974
255,10-03-2014 15.40,28.345
256,10-03-2014 15.55,27.825
257,10-03-2014 16.10,27.653
258,10-03-2014 16.25,27.456
259,10-03-2014 16.40,27.063
260,10-03-2014 16.55,26.549
261,10-03-2014 17.10,25.987
262,10-03-2014 17.25,25.355
263,10-03-2014 17.40,24.919
264,10-03-2014 17.55,24.484
265,10-03-2014 18.10,23.881
266,10-03-2014 18.25,23.521
267,10-03-2014 18.40,23.088
268,10-03-2014 18.55,22.609
269,10-03-2014 19.10,22.178
270,10-03-2014 19.25,21.39
271,10-03-2014 19.40,21.175
272,10-03-2014 19.55,20.174
273,10-03-2014 20.10,20.079
274,10-03-2014 20.25,20.079
275,10-03-2014 20.40,20.531
276,10-03-2014 20.55,19.888
277,10-03-2014 21.10,19.555
278,10-03-2014 21.25,18.913
279,10-03-2014 21.40,18.723
280,10-03-2014 21.55,18.366
281,10-03-2014 22.10,19.008
282,10-03-2014 22.25,18.747
283,10-03-2014 22.40,18.39
284,10-03-2014 22.55,18.747
285,10-03-2014 23.10,18.414
286,10-03-2014 23.25,18.414
287,10-03-2014 23.40,18.39
288,10-03-2014 23.55,18.533
289,10-04-2014 0.10,18.438
290,10-04-2014 0.25,18.2
291,10-04-2014 0.40,17.962
292,10-04-2014 0.55,17.677
293,10-04-2014 1.10,17.558
294,10-04-2014 1.25,17.558
295,10-04-2014 1.40,17.415
296,10-04-2014 1.55,17.153
297,10-04-2014 2.10,17.058
298,10-04-2014 2.25,17.082
299,10-04-2014 2.40,16.796
300,10-04-2014 2.55,16.368
301,10-04-2014 3.10,16.368
302,10-04-2014 3.25,16.344
303,10-04-2014 3.40,16.201
304,10-04-2014 3.55,16.153
305,10-04-2014 4.10,16.058
306,10-04-2014 4.25,15.843
307,10-04-2014 4.40,15.748
308,10-04-2014 4.55,15.485
309,10-04-2014 5.10,15.485
310,10-04-2014 5.25,15.175
311,10-04-2014 5.40,15.294
312,10-04-2014 5.55,15.533
313,10-04-2014 6.10,15.963
314,10-04-2014 6.25,16.272
315,10-04-2014 6.40,17.249
316,10-04-2014 6.55,18.176
317,10-04-2014 7.10,18.889
318,10-04-2014 7.25,19.912
319,10-04-2014 7.40,20.531
320,10-04-2014 7.55,21.39
321,10-04-2014 8.10,21.628
322,10-04-2014 8.25,21.366
323,10-04-2014 8.40,21.819
324,10-04-2014 8.55,21.652
325,10-04-2014 9.10,22.609
326,10-04-2014 9.25,23.328
327,10-04-2014 9.40,22.274
328,10-04-2014 9.55,23.689
329,10-04-2014 10.10,23.088
330,10-04-2014 10.25,22.992
331,10-04-2014 10.40,23.256
332,10-04-2014 10.55,24.171
333,10-04-2014 11.10,24.074
334,10-04-2014 11.25,24.388
335,10-04-2014 11.40,25.065
336,10-04-2014 11.55,25.331
337,10-04-2014 12.10,24.532
338,10-04-2014 12.25,24.919
339,10-04-2014 12.40,25.453
340,10-04-2014 12.55,25.695
341,10-04-2014 13.10,27.801
342,10-04-2014 13.25,26.524
343,10-04-2014 13.40,26.524
344,10-04-2014 13.55,26.451
345,10-04-2014 14.10,25.38
346,10-04-2014 14.25,25.744
347,10-04-2014 14.40,26.646
348,10-04-2014 14.55,27.014
349,10-04-2014 15.10,26.475
350,10-04-2014 15.25,26.256
351,10-04-2014 15.40,25.598
352,10-04-2014 15.55,26.012
353,10-04-2014 16.10,25.817
354,10-04-2014 16.25,25.113
355,10-04-2014 16.40,23.665
356,10-04-2014 16.55,23.064
357,10-04-2014 17.10,22.848
358,10-04-2014 17.25,22.106
359,10-04-2014 17.40,21.437
360,10-04-2014 17.55,20.555
361,10-04-2014 18.10,20.317
362,10-04-2014 18.25,20.198
363,10-04-2014 18.40,19.817
364,10-04-2014 18.55,19.413
365,10-04-2014 19.10,19.008
366,10-04-2014 19.25,18.699
367,10-04-2014 19.40,18.461
368,10-04-2014 19.55,18.224
369,10-04-2014 20.10,18.057
370,10-04-2014 20.25,17.891
371,10-04-2014 20.40,17.724
372,10-04-2014 20.55,17.51
373,10-04-2014 21.10,17.32
374,10-04-2014 21.25,17.106
375,10-04-2014 21.40,17.201
376,10-04-2014 21.55,17.296
377,10-04-2014 22.10,16.939
378,10-04-2014 22.25,16.796
379,10-04-2014 22.40,16.534
380,10-04-2014 22.55,16.392
381,10-04-2014 23.10,16.344
382,10-04-2014 23.25,16.439
383,10-04-2014 23.40,16.415
384,10-04-2014 23.55,16.296
385,10-05-2014 0.10,16.058
386,10-05-2014 0.25,15.939
387,10-05-2014 0.40,15.652
388,10-05-2014 0.55,15.27
389,10-05-2014 1.10,15.127
390,10-05-2014 1.25,14.816
391,10-05-2014 1.40,14.768
392,10-05-2014 1.55,14.601
393,10-05-2014 2.10,14.529
394,10-05-2014 2.25,14.385
395,10-05-2014 2.40,14.409
396,10-05-2014 2.55,14.218
397,10-05-2014 3.10,14.17
398,10-05-2014 3.25,13.786
399,10-05-2014 3.40,13.762
400,10-05-2014 3.55,13.546
401,10-05-2014 4.10,13.546
402,10-05-2014 4.25,13.786
403,10-05-2014 4.40,14.098
404,10-05-2014 4.55,14.314
405,10-05-2014 5.10,14.314
406,10-05-2014 5.25,14.17
407,10-05-2014 5.40,14.242
408,10-05-2014 5.55,14.242
409,10-05-2014 6.10,14.529
410,10-05-2014 6.25,15.055
411,10-05-2014 6.40,15.629
412,10-05-2014 6.55,15.676
413,10-05-2014 7.10,16.106
414,10-05-2014 7.25,16.511
415,10-05-2014 7.40,16.892
416,10-05-2014 7.55,18.176
417,10-05-2014 8.10,18.723
418,10-05-2014 8.25,20.007
419,10-05-2014 8.40,20.174
420,10-05-2014 8.55,21.27
421,10-05-2014 9.10,21.437
422,10-05-2014 9.25,21.867
423,10-05-2014 9.40,22.513
424,10-05-2014 9.55,23.208
425,10-05-2014 10.10,22.92
426,10-05-2014 10.25,23.328
427,10-05-2014 10.40,23.569
428,10-05-2014 10.55,24.171
429,10-05-2014 11.10,24.002
430,10-05-2014 11.25,24.436
431,10-05-2014 11.40,24.968
432,10-05-2014 11.55,24.171
433,10-05-2014 12.10,24.944
434,10-05-2014 12.25,25.186
435,10-05-2014 12.40,25.234
436,10-05-2014 12.55,25.016
437,10-05-2014 13.10,24.363
438,10-05-2014 13.25,25.04
439,10-05-2014 13.40,24.847
440,10-05-2014 13.55,24.412
441,10-05-2014 14.10,24.002
442,10-05-2014 14.25,24.219
443,10-05-2014 14.40,23.833
444,10-05-2014 14.55,24.122
445,10-05-2014 15.10,23.497
446,10-05-2014 15.25,23.304
447,10-05-2014 15.40,23.376
448,10-05-2014 15.55,22.8
449,10-05-2014 16.10,21.843
450,10-05-2014 16.25,21.079
451,10-05-2014 16.40,21.032
452,10-05-2014 16.55,20.222
453,10-05-2014 17.10,19.888
454,10-05-2014 17.25,19.46
455,10-05-2014 17.40,19.056
456,10-05-2014 17.55,18.675
457,10-05-2014 18.10,18.2
458,10-05-2014 18.25,17.867
459,10-05-2014 18.40,17.582
460,10-05-2014 18.55,17.415
461,10-05-2014 19.10,17.082
462,10-05-2014 19.25,16.939
463,10-05-2014 19.40,16.915
464,10-05-2014 19.55,16.749
465,10-05-2014 20.10,16.558
466,10-05-2014 20.25,16.368
467,10-05-2014 20.40,16.272
468,10-05-2014 20.55,16.082
469,10-05-2014 21.10,16.153
470,10-05-2014 21.25,16.058
471,10-05-2014 21.40,15.867
472,10-05-2014 21.55,15.652
473,10-05-2014 22.10,15.557
474,10-05-2014 22.25,15.366
475,10-05-2014 22.40,15.342
476,10-05-2014 22.55,15.031
477,10-05-2014 23.10,14.912
478,10-05-2014 23.25,14.649
479,10-05-2014 23.40,14.577
480,10-05-2014 23.55,14.649
481,10-06-2014 0.10,14.673
482,10-06-2014 0.25,14.361
483,10-06-2014 0.40,14.194
484,10-06-2014 0.55,14.026
485,10-06-2014 1.10,13.93
486,10-06-2014 1.25,13.714
487,10-06-2014 1.40,13.546
488,10-06-2014 1.55,13.522
489,10-06-2014 2.10,13.377
490,10-06-2014 2.25,13.185
491,10-06-2014 2.40,12.944
492,10-06-2014 2.55,12.823
493,10-06-2014 3.10,12.775
494,10-06-2014 3.25,12.727
495,10-06-2014 3.40,12.751
496,10-06-2014 3.55,12.654
497,10-06-2014 4.10,12.485
498,10-06-2014 4.25,12.413
499,10-06-2014 4.40,12.316
500,10-06-2014 4.55,12.364
